type_name,kind,description
LeaderboardUpdateV3,OBJECT,
LeaderboardUpdateRowV3,UNION,
Homepage,OBJECT,
HomepageFragment,UNION,
HospitalityCard,OBJECT,
LeaderboardUpdateCompressed,OBJECT,
PlayoffDisplayType,ENUM,
RyderCupContentFragment,OBJECT,
RyderCupContentFragments,UNION,
SecondaryHero,OBJECT,
TicketSectionContainer,OBJECT,
TicketCards,OBJECT,
TeamRankings,OBJECT,
RyderCupLatestNewsSection,OBJECT,
NewsArticleTeaserAsset,OBJECT,
PlayerOddsCompressed,OBJECT,
ShotDetailVideo,OBJECT,
__Schema,OBJECT,"A GraphQL Introspection defines the capabilities of a GraphQL server. It exposes all available types and directives on the server, the entry points for query, mutation, and subscription operations."
__Type,OBJECT,
__TypeKind,ENUM,An enum describing what kind of type a given __Type is
__Field,OBJECT,
__InputValue,OBJECT,
__EnumValue,OBJECT,
__Directive,OBJECT,
__DirectiveLocation,ENUM,An enum describing valid locations where a directive can be placed
